Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
29,Q181,P.S. 181 - QUEENS,SCA CIP RESOA,FY24 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,Complete,6/24/2024,12/30/2024,1/16/2025,26919,"$26,919.00 ","$26,919.00 ","DSF0001086463, DSF0001087069"
27,Q183,P.S. 183 - QUEENS,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$175,000.00 ",$0.00 ,DSF0001035338
27,Q183,P.S. 183 - QUEENS,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$228,536.00 ",$0.00 ,DSF0001086464
27,Q183,P.S. 183 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,8/28/2024,DOES,2/27/2025,DOES,"$65,832.00 ","$18,873.00 ",DSF0001084678
27,Q183,P.S. 183 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,"CM,F&E",In-Progress,5/17/2021,5/16/2022,,82783,"$301,580.00 ","$289,459.00 ","DSF0000890900, DSF0000912550"
27,Q183,P.S. 183 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,Construction,In-Progress,5/17/2021,5/16/2022,,1214152,"$1,288,624.00 ","$986,732.00 ","DSF0000890900, DSF0000912550"
27,Q183,P.S. 183 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,Design,Complete,9/18/2019,11/15/2019,9/20/2019,82783,"$137,428.00 ","$128,245.00 ","DSF0000890900, DSF0000912550"
27,Q183,P.S. 183 - QUEENS,SCA CIP RESOA,FY19 RESO A PLAYGROUND / PATH OF TRAVEL RESO A PLAYGROUND,Scope,Complete,10/17/2018,7/29/2019,7/12/2019,0,"$46,474.00 ","$46,474.00 ","DSF0000890900, DSF0000912550"
27,Q183,P.S. 183 - QUEENS,SCA IEH,PO18-77/27Q183/9X9 FLOOR  TILE LIFTING RM 133 ROOM HAS BEEN CLOSED ABATE AND REPLACE JOSEPH GARGIULI,Construction,Complete,5/12/2025,IEH,5/18/2025,IEH,"$32,247.00 ","$32,247.00 ",SCA0000074256
27,Q183,P.S. 183 - QUEENS,SCA IEH,PO18-ABATE & REMOVE  WATER VALVE 19 INSULATION IN CRAWL SPACE #1002 CUSTODIAN ENGINEER JOSEPH GARGIU,Construction,Complete,1/30/2025,IEH,2/22/2025,IEH,"$14,087.00 ","$14,087.00 ",SCA0000073854
25,Q184,P.S. 184 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/6/2025,DIIR,6/5/2025,DIIR,"$75,000.00 ","$75,000.00 ",DSF0001113075
25,Q184,P.S. 184 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,9/23/2024,9/12/2026,,231421,"$456,079.00 ","$454,283.00 ","DSF0001023720, DSF0001023721, DSF0001023722"
25,Q184,P.S. 184 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,9/23/2024,9/12/2026,,3185472,"$2,924,560.00 ","$346,650.00 ","DSF0001023720, DSF0001023721, DSF0001023722"
25,Q184,P.S. 184 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,9/6/2023,2/9/2024,4/18/2024,149646,"$225,048.00 ","$187,705.00 ","DSF0001023720, DSF0001023721, DSF0001023722"
25,Q184,P.S. 184 - QUEENS,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,7/21/2022,12/7/2022,8/10/2023,30349,"$129,891.00 ","$129,301.00 ","DSF0001023720, DSF0001023721, DSF0001023722"
25,Q185,J.H.S. 185 - QUEENS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$66,000.00 ",$0.00 ,DSF0001086465
25,Q185,J.H.S. 185 - QUEENS,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001033847
25,Q185,J.H.S. 185 - QUEENS,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$125,000.00 ",$0.00 ,DSF0001035950
25,Q185,J.H.S. 185 - QUEENS,DOE - RESOA,FY21 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$248,525.00 ",$0.00 ,DSF0001007967
25,Q185,J.H.S. 185 - QUEENS,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,8/2/2024,DOES,2/4/2025,DOES,"$65,832.00 ","$8,875.00 ",DSF0001084815
26,Q186,Q224 SPED - QUEENS,DIIT - RESOA,RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$175,000.00 ",$0.00 ,DSF0001114103
26,Q186,Q224 SPED - QUEENS,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$275,000.00 ",$0.00 ,DSF0001035952
26,Q186,Q224 SPED - QUEENS,DOE - RESOA,FY21 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$50,000.00 ",$0.00 ,DSF0001008045
26,Q186,P.S. 186 - QUEENS,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,3/5/2024,DOER,,DOER,"$47,308.00 ",$0.00 ,DSF0001035951
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,1962514,"$1,962,514.00 ","$166,497.00 ","DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / EXTERIOR DOORS / WINDOWS,"CM,F&E",Complete,9/6/2022,9/4/2024,3/12/2025,873635,"$921,230.00 ","$906,194.00 ","DSF0000948958, DSF0000997895, DSF0000997896, DSF0000997902, DSF0001008921"
26,Q186,P.S. 186 - QUEENS,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / EXTERIOR DOORS / WINDOWS,Construction,Complete,9/6/2022,9/4/2024,3/12/2025,13729741,"$13,408,804.00 ","$12,346,021.00 ","DSF0000948958, DSF0000997895, DSF0000997896, DSF0000997902, DSF0001008921"
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Construction,PNS,PNS,PNS,PNS,19803554,"$19,803,554.00 ","$76,094.00 ","DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Design,Complete,1/22/2025,10/15/2025,4/9/2025,1248872,"$565,657.00 ","$546,075.00 ","DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / EXTERIOR DOORS / WINDOWS,Design,Complete,5/24/2021,10/25/2021,2/2/2022,615417,"$576,985.00 ","$576,985.00 ","DSF0000948958, DSF0000997895, DSF0000997896, DSF0000997902, DSF0001008921"
26,Q186,P.S. 186 - QUEENS,SCA CIP,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE,Scope,Complete,11/15/2024,4/18/2025,1/22/2025,267615,"$143,295.00 ","$142,390.00 ","DSF0001034486, DSF0001036331"
26,Q186,P.S. 186 - QUEENS,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / EXTERIOR DOORS / WINDOWS,Scope,Complete,1/14/2020,5/29/2020,5/3/2021,123354,"$174,648.00 ","$174,634.00 ","DSF0000948958, DSF0000997895, DSF0000997896, DSF0000997902, DSF0001008921"
26,Q186,P.S. 186 - QUEENS,SCA IEH,PO18-ABATE FUEL OIL PIPE INSULATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,6/20/2025,IEH,"$1,250.00 ",$0.00 ,SCA0000073977
26,Q188,P.S. 188 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$100,000.00 ",$0.00 ,DSF0001113076
26,Q188,P.S. 188 - QUEENS,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$42,948.00 ",$0.00 ,DSF0001111894
26,Q188,P.S. 188 - QUEENS,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,In-Progress,8/29/2023,DOER,,DOER,"$816,004.00 ",$0.00 ,DSF0001035953
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,"CM,Art,F&E",PNS,PNS,PNS,PNS,8044815,"$8,044,815.00 ","$40,422.00 ",DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,Construction,PNS,PNS,PNS,PNS,61307037,"$61,307,037.00 ","$4,484.00 ",DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,Design,PNS,PNS,PNS,PNS,4438518,"$4,438,518.00 ","$9,200.00 ",DSF0001112258
26,Q188,P.S. 188 - QUEENS,SCA Capacity,ADDITION,Scope,In-Progress,6/16/2025,11/21/2025,,1109630,"$1,109,630.00 ","$26,005.00 ",DSF0001112258
25,Q189,J.H.S. 189 - QUEENS,DIIT - RESOA,FY19 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,"$100,000.00 ",$0.00 ,DSF0000890902
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,DOE - RESOA,FY23 RESO A LOCKER ROOM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001035954
25,Q189,J.H.S. 189 - QUEENS,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,9/13/2023,DOER,,DOER,"$60,507.00 ",$0.00 ,DSF0001035955
25,Q189,J.H.S. 189 - QUEENS,DOE - RESOA,FY10 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$60,705.00 ",$0.00 ,DSF0000690195
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,DOE - RESOA,FY16 RESO A ELECTRICAL SYSTEMS,Construction,In-Progress,4/16/2018,DOER,,DOER,"$143,060.00 ",$0.00 ,DSF0000822773
25,Q189,J.H.S. 189 - QUEENS,DOE - RESOA,FY20 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,"$1,344,029.00 ",$0.00 ,DSF0000913421
25,Q189,J.H.S. 189 - QUEENS,DOE - RESOA,FY21 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,9/21/2022,DOER,,DOER,"$392,230.00 ",$0.00 ,DSF0000961436
25,Q189,J.H.S. 189 - QUEENS,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/26/2024,DOES,,DOES,"$727,467.00 ",$0.00 ,DSF0001085754
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,"CM,F&E",In-Progress,7/7/2023,10/3/2025,,1099001,"$939,848.00 ","$833,364.00 ","DSF0001023794, DSF0001023792, DSF0001023793, DSF0001074577"
25,Q189,J.H.S. 189 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,6/9/2021,4/4/2022,,193500,"$117,414.00 ","$117,414.00 ",DSF0000903365
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,Construction,In-Progress,7/7/2023,10/3/2025,,17662500,"$16,392,510.00 ","$12,195,774.00 ","DSF0001023794, DSF0001023792, DSF0001023793, DSF0001074577"
25,Q189,J.H.S. 189 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,6/9/2021,4/4/2022,,1044000,"$926,713.00 ","$857,729.00 ",DSF0000903365
25,Q189,J.H.S. 189 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,10/22/2019,3/26/2020,3/26/2020,81000,"$41,635.00 ","$41,635.00 ",DSF0000903365
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,Design,Complete,1/18/2023,6/20/2023,5/9/2023,785001,"$681,478.00 ","$645,492.00 ","DSF0001023794, DSF0001023792, DSF0001023793, DSF0001074577"
25,Q189,J.H.S. 189 - QUEENS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,7/24/2019,10/23/2019,9/25/2019,18000,"$10,348.00 ","$10,348.00 ",DSF0000903365
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,SCA CIP,EXTERIOR MASONRY / ROOFS / PARAPETS / FLOOD ELIMINATION,Scope,Complete,5/20/2022,10/5/2022,12/27/2022,157000,"$232,016.00 ","$230,436.00 ","DSF0001023794, DSF0001023792, DSF0001023793, DSF0001074577"
25,Q189,J.H.S. 189 - QUEENS,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,56545,"$56,545.00 ","$13,351.00 ","DSF0001086466, DSF0001087070"
25,Q189,J.H.S. 189 - QUEENS,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,829324,"$829,324.00 ",$303.00 ,"DSF0001086466, DSF0001087070"
25,Q189,J.H.S. 189 - QUEENS,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,Complete,8/12/2024,12/16/2024,3/4/2025,56545,"$19,110.00 ","$4,865.00 ","DSF0001086466, DSF0001087070"
25,Q189,J.H.S. 189 - QUEENS,SCA CIP RESOA,FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,Complete,1/22/2024,8/7/2024,8/1/2024,0,"$19,033.00 ","$18,494.00 ","DSF0001086466, DSF0001087070"
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,SCA IEH,PO18-ABATE AND REPAIR PIPE INSULATION IN BASEMENT PLENUM OF THE CAFETERIA CEILING APPROX. 30LF ABATE,Construction,Complete,1/17/2025,IEH,1/20/2025,IEH,"$18,801.00 ","$1,036.00 ",SCA0000073817
25,Q189,THE FLUSHING INTERNATIONAL HS - Q,SCA IEH,PO18-ADDITIONAL ACM ABATEMENT NEEDED   ( APPROXIMATELY 25 LINEAR FEET) IN CAFETERIA CEILING. - SEVEN,Construction,Complete,2/7/2025,IEH,2/23/2025,IEH,"$22,061.00 ","$1,406.00 ",SCA0000073888
28,Q190,J.H.S. 190 - QUEENS,DOE - RESOA,FY22 RESO A LOCKER ROOM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$204,721.00 ",$0.00 ,DSF0001033850
28,Q190,J.H.S. 190 - QUEENS,DOE - RESOA,RESO A AUDITORIUM UPGRADE,Construction,In-Progress,7/8/2024,DOER,,DOER,"$70,387.00 ",$0.00 ,DSF0001085322
28,Q190,J.H.S. 190 - QUEENS,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/24/2024,DOES,,DOES,"$602,824.00 ",$0.00 ,DSF0001085755
28,Q190,J.H.S. 190 - QUEENS,Fast Track Projects,TEMPORARY OIL TANK @Q190,Construction,In-Progress,10/30/2019,FTK,,FTK,"$442,486.00 ","$403,928.00 ",SCA0000061787
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,6/6/2022,6/4/2024,,557830,"$886,053.00 ","$886,053.00 ","DSF0000903387, DSF0000914329"
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,6/6/2022,6/4/2024,,8965125,"$8,247,112.00 ","$7,340,668.00 ","DSF0000903387, DSF0000914329"
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,4/15/2020,9/15/2020,7/29/2020,398450,"$392,460.00 ","$340,759.00 ","DSF0000903387, DSF0000914329"
28,Q190,J.H.S. 190 - QUEENS,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,1/27/2020,6/25/2020,4/10/2020,79690,"$77,723.00 ","$77,723.00 ","DSF0000903387, DSF0000914329"
28,Q190,J.H.S. 190 - QUEENS,SCA CIP RESOA,FY23 RESO A SCHOOLYARD UPGRADE,"CM,F&E",In-Progress,4/28/2025,3/23/2026,,60000,"$43,897.00 ","$12,277.00 ",DSF0001035956
28,Q190,J.H.S. 190 - QUEENS,SCA CIP RESOA,FY23 RESO A SCHOOLYARD UPGRADE,Construction,In-Progress,4/28/2025,3/23/2026,,880000,"$427,365.00 ","$5,790.00 ",DSF0001035956
28,Q190,J.H.S. 190 - QUEENS,SCA CIP RESOA,FY23 RESO A SCHOOLYARD UPGRADE,Design,Complete,8/24/2023,1/12/2024,5/30/2024,60000,"$83,752.00 ","$66,916.00 ",DSF0001035956
28,Q190,J.H.S. 190 - QUEENS,SCA CIP RESOA,FY23 RESO A SCHOOLYARD UPGRADE,Scope,Complete,3/14/2023,6/12/2023,8/2/2023,0,"$40,507.00 ","$40,507.00 ",DSF0001035956
26,Q191,P.S. 191 - QUEENS,DIIT - Project Connect,"DATA/VOICE & WIRELESS NETWORK CABLE WIRING, NETWORK SERVER EQUIPMENT, DATA/VOICE & WIRELESS NETWORK",Purch & Install,In-Progress,2/6/2009,DIIT,,DIIT,"$261,220.00 ",$0.00 ,DSF0000800170
26,Q191,P.S. 191 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/21/2025,DIIR,5/20/2025,DIIR,"$100,000.00 ","$100,000.00 ",DSF0001113077
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,"$50,000.00 ",$0.00 ,DSF0000914040
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,"$50,000.00 ",$0.00 ,DSF0001008057
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$60,000.00 ",$0.00 ,DSF0001033955
26,Q191,Q993 SPED - QUEENS,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$113,000.00 ",$0.00 ,DSF0001086467
26,Q191,P.S. 191 - QUEENS,DOE - RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$210,000.00 ",$0.00 ,DSF0001035960
26,Q191,P.S. 191 - QUEENS,SCA IEH,PO18-ABATE FUEL OIL PIPE INSULATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,Complete,2/25/2025,IEH,6/20/2025,IEH,"$1,339.00 ",$89.00 ,SCA0000073972
29,Q192,I.S. 192 - QUEENS,DOE - RESOA,FY23 RESO A MULTIMEDIA CENTER,Construction,PNS,PNS,PNS,PNS,DOER,"$45,107.00 ",$0.00 ,DSF0001035961
29,Q192,PATHWAYS COLL. PREP SCHOOL - Q,DOE - RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$350,000.00 ",$0.00 ,DSF0001113078
29,Q192,I.S. 192 - QUEENS,DOE - RESOA,FY24 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,10/31/2023,DOER,,DOER,"$453,246.00 ",$0.00 ,DSF0001086468
29,Q192,PATHWAYS COLL. PREP SCHOOL - Q,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001035242
29,Q192,I.S. 192 - QUEENS,DOE - RESOA,FY23 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001035240
29,Q192,I.S. 192 - QUEENS,DOE - Skilled Trades,FACILITY ENHANCEMENT,Construction,In-Progress,4/2/2024,DOES,,DOES,"$187,294.00 ","$1,433.00 ",DSF0001112165
29,Q192,I.S. 192 - QUEENS,DOE - Skilled Trades,DOMESTIC HOT WATER HOLDING TANK,Construction,In-Progress,9/11/2020,DOES,,DOES,"$21,964.00 ",$0.00 ,DSF0000960973
29,Q192,I.S. 192 - QUEENS,Fast Track Projects,"FLOOD REMEDIATION GYM FLOOR, OFFICES AND LOCKER ROOM",Construction,In-Progress,5/25/2022,FTK,,FTK,"$1,079,626.00 ","$1,045,107.00 ",SCA0000070860
29,Q192,I.S. 192 - QUEENS,Fast Track Projects,CTF ROOM CONVERSION,Construction,In-Progress,11/15/2024,FTK,,FTK,"$769,781.00 ","$50,043.00 ",DSF0001112053
29,Q192,I.S. 192 - QUEENS,SCA IEH,PO18-ABATE 10 LINEAR FEET OF ACM ON 2 1/2' STEAM SUPPLY AND 1' STEAM RETURN LINE. LOCATION IS IN THE,Construction,Complete,4/15/2025,IEH,5/30/2025,IEH,$192.00 ,$192.00 ,SCA0000074154
29,Q192,I.S. 192 - QUEENS,SCA IEH,PO18-ABATE AND REPAIR ACM PIPE INSULATION AT LOCATIONS 2118 - 1LF; 2120 - 10 LF 2120- 3 LF; 3245 - 3,Construction,Complete,4/10/2025,IEH,5/25/2025,IEH,"$44,824.00 ","$1,016.00 ",SCA0000074131
25,Q193,P.S. 193 - QUEENS,DOE - RESOA,RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,"$50,000.00 ",$0.00 ,DSF0001112398
25,Q193,P.S. 193 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / PATH OF TRAVEL TCU REMOVAL / PLAYGROUND REDEVELOPMENT,"CM,F&E",In-Progress,7/15/2019,7/13/2021,,693003,"$1,418,788.00 ","$1,382,495.00 ","DSF0000843951, DSF0000880580, DSF0000888785, DSF0000960584"
25,Q193,P.S. 193 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / PATH OF TRAVEL TCU REMOVAL / PLAYGROUND REDEVELOPMENT,Construction,In-Progress,7/15/2019,7/13/2021,,10858766,"$11,242,336.00 ","$9,650,248.00 ","DSF0000843951, DSF0000880580, DSF0000888785, DSF0000960584"
25,Q193,P.S. 193 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / PATH OF TRAVEL TCU REMOVAL / PLAYGROUND REDEVELOPMENT,Design,Complete,4/4/2018,9/4/2018,10/5/2018,582551,"$945,337.00 ","$868,431.00 ","DSF0000843951, DSF0000880580, DSF0000888785, DSF0000960584"
25,Q193,P.S. 193 - QUEENS,SCA CIP,TCU REMOVAL/PLAYGROUND REDEVELOPMENT / PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION / PATH OF TRAVEL TCU REMOVAL / PLAYGROUND REDEVELOPMENT,Scope,Complete,9/22/2016,6/5/2018,3/22/2018,145334,"$232,560.00 ","$232,560.00 ","DSF0000843951, DSF0000880580, DSF0000888785, DSF0000960584"
25,Q193,P.S. 193 - QUEENS,SCA IEH,PO18-TEST DUCT INSULATION &IF POSITIVE ABATE & REPLACE,Construction,Complete,3/25/2025,IEH,5/14/2025,IEH,"$11,891.00 ","$1,755.00 ",SCA0000074083
25,Q193,P.S. 193 - QUEENS,SCA IEH,"PO18-ABATE/REPLACE BLACK 9X9 FLOOR TILES IN ROOMS 316,313,303,304 LOCATED ON 3RD FLOOR. TILES ARE IN",Construction,Complete,4/30/2025,IEH,6/2/2025,IEH,"$1,427.00 ",$677.00 ,SCA0000074215
25,Q193,P.S. 193 - QUEENS,SCA IEH,PO18-ABATE & REPAIR CEILING PLASTER AT 1ST FLOOR HALLWAY BY GYM & EXIT #4.,Construction,Complete,12/3/2024,IEH,2/2/2025,IEH,"$17,749.00 ","$17,749.00 ",SCA0000073659
25,Q194,J.H.S. 194 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$50,000.00 ",$0.00 ,DSF0001113080
25,Q194,J.H.S. 194 - QUEENS,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,"$250,000.00 ",$0.00 ,DSF0001083855
29,Q195,P.S. 195 - QUEENS,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,"$80,000.00 ",$0.00 ,DSF0001113081
29,Q195,P.S. 195 - QUEENS,DOE - Skilled Trades,FACILITY ENHANCEMENT,Construction,In-Progress,1/31/2024,DOES,,DOES,"$90,594.00 ","$8,615.00 ",DSF0001112166
29,Q195,P.S. 195 - QUEENS,SCA CIP,WATER PENETRATION / PARAPETS / ROOFS,"CM,F&E",In-Progress,7/27/2022,1/17/2024,,561944,"$924,666.00 ","$914,530.00 ","DSF0000903482, DSF0000998042, DSF0001023907"
29,Q195,P.S. 195 - QUEENS,SCA CIP,WATER PENETRATION / PARAPETS / ROOFS,Construction,In-Progress,7/27/2022,1/17/2024,,9011847,"$8,246,021.00 ","$6,885,766.00 ","DSF0000903482, DSF0000998042, DSF0001023907"
29,Q195,P.S. 195 - QUEENS,SCA CIP,WATER PENETRATION / PARAPETS / ROOFS,Design,Complete,5/26/2021,10/27/2021,5/12/2022,400526,"$432,592.00 ","$432,592.00 ","DSF0000903482, DSF0000998042, DSF0001023907"
29,Q195,P.S. 195 - QUEENS,SCA CIP,WATER PENETRATION / PARAPETS / ROOFS,Scope,Complete,8/2/2019,12/19/2019,5/24/2021,80105,"$65,559.00 ","$61,924.00 ","DSF0000903482, DSF0000998042, DSF0001023907"
29,Q195,P.S. 195 - QUEENS,SCA Furniture & Equipment,RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,175000,"$175,000.00 ",$0.00 ,DSF0001114163
