"project_geographic_district","project_building_identifier","project_school_name","project_type","project_description","project_phase_name","project_status_name","project_phase_actual_start_date","project_phase_planned_end_date","project_phase_actual_end_date","BAC","EAC","AC","perc_complete","dfs_numbers"
6,"M814","I.S. 346 - MANHATTAN","DOE - RESOA","FY21 RESO A GYMNASIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","150000.00","0.00","0.00","DSF0000961292"
2,"M816","P.S. 527 - MANHATTAN","DOE - Skilled Trades","BOILER REPLACEMENT","Construction","In-Progress","2019-04-24","DOES","","DOES","1429795.00","0.00","0.00","DSF0000911437"
2,"M816","P.S. 527 - MANHATTAN","DOE - Skilled Trades","BATHROOM UPGRADE","Construction","In-Progress","2022-12-26","DOES","","DOES","194652.00","0.00","0.00","DSF0001009207"
2,"M816","P.S. 527 - MANHATTAN","DOE - RESOA","RESO A AUDITORIUM UPGRADE","Construction","In-Progress","2023-05-25","DOER","","DOER","259030.00","0.00","0.00","DSF0001034301"
2,"M816","P.S. 527 - MANHATTAN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-03-25","DIIR","2025-04-22","DIIR","175000.00","175000.00","100.00","DSF0001112906"
2,"M816","P.S. 527 - MANHATTAN","DIIT - RESOA","FY24 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","125000.00","0.00","0.00","DSF0001086324"
2,"M816","P.S. 527 - MANHATTAN","DOE - RESOA","FY22 RESO A ELECTRICAL UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","123412.00","0.00","0.00","DSF0001033713"
2,"M824","MILLENNIUM HS - MANHATTAN","DOE - RESOA","FY18 RESO A LIBRARY UPGRADES","Construction","In-Progress","2018-01-16","DOER","","DOER","479756.00","0.00","0.00","DSF0000866404"
2,"M824","MILLENNIUM HS - MANHATTAN","Fast Track Projects","FY19 RESO A AUDITORIUM UPGRADE","Construction","In-Progress","2019-03-01","FTK","","FTK","154172.00","133756.00","86.76","DSF0000890674"
2,"M824","MILLENNIUM HS - MANHATTAN","SCA CIP","UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION","Scope","Complete","2019-05-20","2019-09-23","2019-07-18","140676.00","221363.00","221363.00","100.00","SCA0000049166, DSF0000960503"
2,"M824","MILLENNIUM HS - MANHATTAN","SCA CIP","UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION","Design","Complete","2019-07-24","2019-12-26","2019-12-05","696032.00","1381830.00","1139893.00","82.49","SCA0000049166, DSF0000960503"
2,"M824","MILLENNIUM HS - MANHATTAN","SCA CIP","UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION","Construction","In-Progress","2023-06-14","2025-02-02","","15025246.00","13570960.00","11901222.00","87.70","SCA0000049166, DSF0000960503"
2,"M824","MILLENNIUM HS - MANHATTAN","SCA CIP","UPE - INTERIOR CONVERSION / IPDVS CAMERA INSTALLATION","CM,F&E","In-Progress","2023-06-14","2025-02-02","","1398189.00","1405893.00","981354.00","69.80","SCA0000049166, DSF0000960503"
2,"M824","MILLENNIUM HS - MANHATTAN","DOE - Skilled Trades","SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION","Construction","In-Progress","2024-06-11","DOES","","DOES","65832.00","0.00","0.00","DSF0001085488"
2,"M833","HS FOR ECONOMICS & FINANCE - M","SCA CIP","ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT","Scope","Complete","2019-08-12","2019-12-13","2020-03-30","70701.00","56787.00","56787.00","100.00","DSF0000900344, DSF0001113979"
2,"M833","HS FOR ECONOMICS & FINANCE - M","SCA CIP","ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT","Design","Complete","2020-03-31","2020-07-17","2020-06-19","344503.00","218704.00","215070.00","98.34","DSF0000900344, DSF0001113979"
2,"M833","HS FOR ECONOMICS & FINANCE - M","SCA IEH","PO18-ABATE PIPE JOINT INSULATION IN MECHANICAL SPACE IN THE 11TH FL PENTHOUSE AHERA BOOK : SPACE ID#","Construction","In-Progress","2025-04-28","IEH","","IEH","1970.00","1220.00","61.93","SCA0000074196"
2,"M833","HS FOR ECONOMICS & FINANCE - M","SCA CIP","ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT","CM,F&E","PNS","PNS","PNS","PNS","503904.00","503904.00","82229.00","16.32","DSF0000900344, DSF0001113979"
2,"M833","HS FOR ECONOMICS & FINANCE - M","SCA CIP","ABSORBER REPLACEMENT / FIRE ALARM SYSTEM REPLACEMENT","Construction","PNS","PNS","PNS","PNS","6914315.00","6914315.00","13557.00","0.20","DSF0000900344, DSF0001113979"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP","HEATING PLANT UPGRADE","Scope","Complete","2021-06-24","2021-11-26","2022-01-19","34972.00","61288.00","61288.00","100.00","DSF0001009200"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","DOE - Skilled Trades","ELEVATOR MODERNIZATION","Construction","In-Progress","2021-10-16","DOES","","DOES","349608.00","417316.00","100.00","DSF0001009249"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP","HEATING PLANT UPGRADE","Design","Complete","2022-01-20","2022-06-21","2022-10-27","174858.00","195346.00","171491.00","87.79","DSF0001009200"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","FY24 RESO A CULINARY KITCHEN","Scope","Complete","2023-12-06","2024-03-25","2024-07-19","0.00","45788.00","45788.00","100.00","DSF0001086325"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","Scope","Complete","2024-07-09","2024-10-08","2024-11-15","0.00","0.00","0.00","","DSF0001087048"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","FY24 RESO A CULINARY KITCHEN","Design","In-Progress","2024-07-30","2025-01-02","","50897.00","99910.00","99910.00","100.00","DSF0001086325"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","Design","In-Progress","2024-11-18","2025-03-20","","3103.00","3103.00","0.00","0.00","DSF0001087048"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","3103.00","8156.00","7686.00","94.24","DSF0001087048"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","FY24 RESO A CULINARY KITCHEN","CM,F&E","PNS","PNS","PNS","PNS","50897.00","54665.00","53478.00","97.83","DSF0001086325"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","Construction","PNS","PNS","PNS","PNS","45516.00","45516.00","31817.00","69.90","DSF0001087048"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","Construction","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113622"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","FY24 RESO A CULINARY KITCHEN","Construction","PNS","PNS","PNS","PNS","746484.00","746484.00","13235.00","1.77","DSF0001086325"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP","HEATING PLANT UPGRADE","Construction","PNS","PNS","PNS","PNS","3934303.00","3934303.00","9081.00","0.23","DSF0001009200"
2,"M834","INDEPENDENCE HS - MANHATTAN","DIIT - RESOA","FY22 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","75000.00","0.00","0.00","DSF0001033235"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","Design","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113622"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","Scope","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001113622"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP","HEATING PLANT UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","244801.00","244801.00","8939.00","3.65","DSF0001009200"
2,"M834","HS FOR ENVIRONMENTAL STUDIES - M","SCA CIP RESOA","PATH OF TRAVEL RESO A KITCHEN UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","0.00","387.00","387.00","100.00","DSF0001113622"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY18 RESO A MEDIA CENTER UPGRADE","Scope","Complete","2018-04-24","2018-08-23","2018-08-20","0.00","12113.00","12113.00","100.00","DSF0000866559"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY19 RESO A TECHNOLOGY","Purch & Install","In-Progress","2020-07-10","DIIR","","DIIR","100000.00","0.00","0.00","DSF0000889866"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY19 RESO A TECHNOLOGY","Purch & Install","In-Progress","2020-07-10","DIIR","","DIIR","50000.00","0.00","0.00","DSF0000890190"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY20 RESO A TECHNOLOGY","Purch & Install","In-Progress","2021-03-14","DIIR","","DIIR","40000.00","0.00","0.00","DSF0000960898"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY21 RESO A TECHNOLOGY UPGRADE","Purch & Install","In-Progress","2021-03-14","DIIR","","DIIR","153995.00","0.00","0.00","DSF0001008144"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY18 RESO A TECHNOLOGY","Purch & Install","In-Progress","2021-06-30","DIIR","","DIIR","50000.00","0.00","0.00","DSF0000867494"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY20 RESO A TECHNOLOGY UPGRADE","Purch & Install","In-Progress","2022-02-17","DIIR","","DIIR","111666.00","0.00","0.00","DSF0000913651"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY20 RESO A IPDVS CAMERA INSTALLATION","Scope","Complete","2023-02-01","2023-06-01","2023-02-06","0.00","2773.00","2773.00","100.00","DSF0000822325"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY20 RESO A IPDVS CAMERA INSTALLATION","Design","Complete","2023-02-06","2023-08-02","2023-05-03","20584.00","11090.00","11090.00","100.00","DSF0000822325"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY20 RESO A IPDVS CAMERA INSTALLATION","CM,F&E","In-Progress","2023-12-08","2024-12-06","","115329.00","121096.00","80635.00","66.59","DSF0000822325"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY20 RESO A IPDVS CAMERA INSTALLATION","Construction","In-Progress","2023-12-08","2024-12-06","","301894.00","210878.00","168594.00","79.95","DSF0000822325"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY18 RESO A MEDIA CENTER UPGRADE","Design","In-Progress","2025-04-23","2025-09-09","","42314.00","30201.00","3375.00","11.18","DSF0000866559"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY24 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","50000.00","0.00","0.00","DSF0001086326"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","50000.00","0.00","0.00","DSF0001112908"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY18 RESO A MEDIA CENTER UPGRADE","Construction","PNS","PNS","PNS","PNS","620608.00","620608.00","1402.00","0.23","DSF0000866559"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","SCA CIP RESOA","FY18 RESO A MEDIA CENTER UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","42314.00","42314.00","3321.00","7.85","DSF0000866559"
3,"M837","WEST END SECONDARY SCHOOL - MANHATTAN","DIIT - RESOA","FY22 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","50000.00","0.00","0.00","DSF0001033682"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","ROOFS","Scope","Complete","2021-04-27","2021-09-10","2021-09-08","56358.00","68816.00","68816.00","100.00","DSF0000994645"
3,"M841","M811 SPED - MANHATTAN","SCA Emergency Response","EMERGENCY STABILIZATION","Construction","In-Progress","2021-06-08","EMER","","EMER","25923.00","25923.00","100.00","SCA0000069792"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","ROOFS","Design","Complete","2021-09-09","2022-02-14","2022-05-06","281792.00","251114.00","251114.00","100.00","DSF0000994645"
3,"M841","M811 SPED - MANHATTAN","DOE - Skilled Trades","ELEVATOR MODERNIZATION","Construction","In-Progress","2022-03-21","DOES","","DOES","72385.00","374843.00","100.00","DSF0001020263"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","IPDVS INSTALLATIONS","Scope","Complete","2023-03-09","2023-07-10","2023-03-21","4500.00","2272.00","2272.00","100.00","DSF0001034564"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","IPDVS INSTALLATIONS","Design","Complete","2023-03-21","2023-09-14","2023-05-03","20250.00","9089.00","9089.00","100.00","DSF0001034564"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","ROOFS","CM,F&E","In-Progress","2023-06-12","2024-12-02","","394509.00","332963.00","332963.00","100.00","DSF0000994645"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","ROOFS","Construction","In-Progress","2023-06-12","2024-12-02","","6340318.00","5905761.00","5119352.00","86.68","DSF0000994645"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","IPDVS INSTALLATIONS","CM,F&E","In-Progress","2023-12-08","2024-12-06","","179053.00","158766.00","81453.00","51.30","DSF0001034564"
3,"M841","M811 SPED - MANHATTAN","SCA CIP","IPDVS INSTALLATIONS","Construction","In-Progress","2023-12-08","2024-12-06","","261000.00","235621.00","191628.00","81.33","DSF0001034564"
3,"M841","M811 SPED - MANHATTAN","DOE - Skilled Trades","CHILLED WATER COIL REPLACEMENT","Construction","In-Progress","2024-02-23","DOES","","DOES","67305.00","0.00","0.00","DSF0001111830"
3,"M841","M811 SPED - MANHATTAN","DOE - Skilled Trades","SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION","Construction","Complete","2025-01-02","DOES","2025-01-14","DOES","65832.00","2924.00","4.44","DSF0001084983"
3,"M841","M811 SPED - MANHATTAN","DIIT - RESOA","RESO A TECHNOLOGY","Purch & Install","PNS","PNS","PNS","PNS","DIIR","100000.00","0.00","0.00","DSF0001086327"
2,"M844","M721 SPED - MANHATTAN","DOE - Skilled Trades","BATHROOM UPGRADES","Construction","In-Progress","2021-10-15","DOES","","DOES","140265.00","0.00","0.00","DSF0001008700"
2,"M844","M721 SPED - MANHATTAN","SCA Emergency Response","EMERGENCY STABILIZATION- SWB @ M844","Construction","In-Progress","2024-03-08","EMER","","EMER","24515.00","14214.00","57.98","SCA0000072804"
2,"M844","M721 SPED - MANHATTAN","SCA IEH","PO18-AHERA PERIODIC SURVEILLANCE - REQUIRED RESPONSE ACTIONS THE FOLLOWING AREAS REQUIRE RESPONSE AC","Construction","Complete","2025-04-17","IEH","2025-05-21","IEH","10914.00","664.00","6.08","SCA0000074167"
6,"M847","P.S. 152 - MANHATTAN","SCA CIP","DEMOLITION OF MINI BUILDING","Scope","Complete","2018-06-25","2018-09-24","2018-10-09","20269.00","78440.00","78440.00","100.00","DSF0000888968"
6,"M847","P.S. 152 - MANHATTAN","SCA CIP","DEMOLITION OF MINI BUILDING","Design","Complete","2018-10-16","2019-03-06","2019-04-29","81077.00","216350.00","216350.00","100.00","DSF0000888968"
6,"M847","P.S. 152 - MANHATTAN","SCA CIP","DEMOLITION OF MINI BUILDING","CM,F&E","In-Progress","2019-07-31","2021-01-20","","94590.00","74864.00","74864.00","100.00","DSF0000888968"
6,"M847","P.S. 152 - MANHATTAN","SCA CIP","DEMOLITION OF MINI BUILDING","Construction","In-Progress","2019-07-31","2021-01-20","","1520197.00","1398265.00","1234035.00","88.25","DSF0000888968"
2,"M855","ELEANOR ROOSEVELT HS - MANHATTAN","DOE - Skilled Trades","ELEVATOR MODERNIZATION","Construction","In-Progress","2024-07-15","DOES","","DOES","882948.00","0.00","0.00","DSF0001098802"
2,"M855","ELEANOR ROOSEVELT HS - MANHATTAN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-03-07","DIIR","2025-05-06","DIIR","100000.00","100000.00","100.00","DSF0001112910"
2,"M855","ELEANOR ROOSEVELT HS - MANHATTAN","DOE - RESOA","FY21 RESO A WATER FOUNTAIN UPGRADES","Construction","PNS","PNS","PNS","PNS","DOER","80000.00","0.00","0.00","DSF0001008859"
2,"M855","ELEANOR ROOSEVELT HS - MANHATTAN","DOE - RESOA","FY25 RESO A AUDITORIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","260000.00","0.00","0.00","DSF0001112909"
6,"M859","I.S. 348 - MANHATTAN","SCA CIP","PUBLIC ADDRESS SYSTEM","Scope","Complete","2021-01-11","2021-04-12","2021-01-19","1584.00","1037.00","1037.00","100.00","DSF0001008646"
6,"M859","I.S. 348 - MANHATTAN","SCA CIP","PUBLIC ADDRESS SYSTEM","Design","Complete","2021-01-20","2021-06-21","2021-04-12","7127.00","4772.00","4147.00","86.90","DSF0001008646"
6,"M859","I.S. 348 - MANHATTAN","SCA CIP","PUBLIC ADDRESS SYSTEM","CM,F&E","In-Progress","2021-09-15","2023-01-17","","17025.00","227892.00","227267.00","99.73","DSF0001008646"
6,"M859","I.S. 348 - MANHATTAN","SCA CIP","PUBLIC ADDRESS SYSTEM","Construction","In-Progress","2021-09-15","2023-01-17","","91856.00","138821.00","92003.00","66.27","DSF0001008646"
2,"M860","DISTRICT 2 PRE-K CENTER","SCA IEH","PO18-/TEST WALLS IN ROOMS 315, 318, 319 TO INSTALL 3 TV MOUNTS AHERA BOOK : ALL WALLS ARE ASSUMED HO","Construction","Complete","2025-01-02","IEH","2025-01-04","IEH","14975.00","14975.00","100.00","SCA0000073751"
2,"M868","I.S. 260 - MANHATTAN","SCA Emergency Response","EMERGENCY STABILIZATION","Construction","In-Progress","2021-04-01","EMER","","EMER","18233.00","18233.00","100.00","SCA0000069129"
2,"M868","I.S. 260 - MANHATTAN","DIIT - RESOA","FY24 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-02-07","DIIR","2025-04-08","DIIR","125000.00","125000.00","100.00","DSF0001086329"
2,"M868","I.S. 260 - MANHATTAN","DOE - RESOA","FY25 RESO A ROOM CONVERSION","Construction","PNS","PNS","PNS","PNS","DOER","250000.00","0.00","0.00","DSF0001112911"
2,"M871","NEW YORK HARBOR SCHOOL - MANHATTAN","Fast Track Projects","STRUCTURAL ISSUES","Construction","In-Progress","2024-05-15","FTK","","FTK","2657910.00","448616.00","16.88","DSF0000888621"
2,"M873","MANHATTAN VILLAGE ACADEMY - M","SCA CIP","IPDVS CAMERA INSTALLATION","Scope","Complete","2023-05-24","2023-09-25","2023-06-15","3327.00","948.00","948.00","100.00","DSF0001035036"
2,"M873","MANHATTAN VILLAGE ACADEMY - M","SCA CIP","IPDVS CAMERA INSTALLATION","Design","Complete","2023-06-15","2023-12-13","2023-08-30","14970.00","3792.00","3792.00","100.00","DSF0001035036"
2,"M873","MANHATTAN VILLAGE ACADEMY - M","SCA CIP","IPDVS CAMERA INSTALLATION","CM,F&E","In-Progress","2024-02-09","2025-01-03","","97737.00","214040.00","163475.00","76.38","DSF0001035036"
2,"M873","MANHATTAN VILLAGE ACADEMY - M","SCA CIP","IPDVS CAMERA INSTALLATION","Construction","In-Progress","2024-02-09","2025-01-03","","192950.00","178950.00","104658.00","58.48","DSF0001035036"
2,"M873","MANHATTAN VILLAGE ACADEMY - M","SCA IEH","PO18-4 HOLES 1/4' DIAMETER 3' DEEP. KITCHEN FLOOR CUSTODIAN ENGINEER:","Construction","Complete","2025-01-10","IEH","2025-03-22","IEH","21464.00","552.00","2.57","SCA0000073783"
2,"M874","BARUCH COLLEGE CAMPUS HS - M","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-02-23","DIIR","2025-04-24","DIIR","125000.00","125000.00","100.00","DSF0001112912"
2,"M874","BARUCH COLLEGE CAMPUS HS - M","DIIT - RESOA","FY23 RESO A TECHNOLOGY UPGRADE","Purch & Install","PNS","PNS","PNS","PNS","DIIR","160000.00","0.00","0.00","DSF0001035782"
2,"M874","BARUCH COLLEGE CAMPUS HS - M","DOE - RESOA","FY15 RESO A GYMNASIUM UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","205255.00","0.00","0.00","DSF0000800428"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","DOE - Skilled Trades","WATER MAIN REPAIRS","Construction","In-Progress","2020-09-15","DOES","","DOES","43847.00","489.00","1.12","DSF0000961536"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP","IPDVS FULL CAMERA UPGRADE","Scope","Complete","2022-03-28","2022-07-26","2022-04-14","1477.00","3177.00","3177.00","100.00","DSF0001034369"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP","IPDVS FULL CAMERA UPGRADE","Design","Complete","2022-04-14","2022-10-07","2022-07-19","6646.00","12705.00","12705.00","100.00","DSF0001034369"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP RESOA","FY22 RESO A (MA) MEDIA CENTER","Scope","In-Progress","2022-06-01","2022-10-03","","0.00","96704.00","704.00","0.73","DSF0001032956"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","Fast Track Projects","FY20 RESO A GYMNASIUM UPGRADE","Construction","Complete","2022-07-18","FTK","2023-09-29","FTK","201645.00","183015.00","90.76","DSF0000913352"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP","IPDVS FULL CAMERA UPGRADE","CM,F&E","In-Progress","2023-03-09","2024-02-01","","123026.00","138405.00","134352.00","97.07","DSF0001034369"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP","IPDVS FULL CAMERA UPGRADE","Construction","In-Progress","2023-03-09","2024-02-01","","85658.00","83295.00","67950.00","81.58","DSF0001034369"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","DOE - RESOA","FY23 RESO A CAFETERIA UPGRADE","Construction","In-Progress","2024-02-20","DOER","","DOER","79775.00","0.00","0.00","DSF0001035328"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","DOE - Skilled Trades","SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION","Construction","Complete","2024-07-19","DOES","2025-02-03","DOES","50832.00","0.00","0.00","DSF0001084985"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","DOE - RESOA","FY24 RESO A LIBRARY UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","275000.00","0.00","0.00","DSF0001086331"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","DOE - RESOA","FY25 RESO A BATHROOM UPGRADES","Construction","PNS","PNS","PNS","PNS","DOER","100000.00","0.00","0.00","DSF0001112913"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP RESOA","FY22 RESO A (MA) MEDIA CENTER","CM,F&E","PNS","PNS","PNS","PNS","599045.00","600000.00","0.00","0.00","DSF0001032956"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP RESOA","FY22 RESO A (MA) MEDIA CENTER","Construction","PNS","PNS","PNS","PNS","8785986.00","8800000.00","0.00","0.00","DSF0001032956"
6,"M876","GREGORIO LUPERON PREP. SCHOOL - M","SCA CIP RESOA","FY22 RESO A (MA) MEDIA CENTER","Design","PNS","PNS","PNS","PNS","599045.00","502341.00","2425.00","0.48","DSF0001032956"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","Scope","In-Progress","2023-02-08","2023-05-09","","0.00","23778.00","378.00","1.59","DSF0001035784"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","Scope","In-Progress","2024-08-02","2024-11-04","","0.00","0.00","0.00","","DSF0001035785"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","DOE - RESOA","FY13 RESO A SCIENCE LAB UPGRADES","Construction","PNS","PNS","PNS","PNS","DOER","289814.00","0.00","0.00","DSF0000754573"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","DOE - RESOA","FY25 RESO A ELECTRICAL UPGRADE","Construction","PNS","PNS","PNS","PNS","DOER","100000.00","0.00","0.00","DSF0001112914"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001035785"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","CM,F&E","PNS","PNS","PNS","PNS","96000.00","96000.00","61.00","0.06","DSF0001035784"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","Construction","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001035785"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","Construction","PNS","PNS","PNS","PNS","1408000.00","1408000.00","0.00","0.00","DSF0001035784"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","FY23 RESO A PLAYGROUND UPGRADE","Design","PNS","PNS","PNS","PNS","96000.00","72222.00","1514.00","2.10","DSF0001035784"
2,"M877","NEW YORK HARBOR SCHOOL - MANHATTAN","SCA CIP RESOA","PATH OF TRAVEL RESO A PLAYGROUND UPGRADE","Design","PNS","PNS","PNS","PNS","0.00","0.00","0.00","","DSF0001035785"
2,"M883","HARVEST COLLEGIATE HIGH SCHOOL - MANHATTAN","DIIT - RESOA","FY25 RESO A TECHNOLOGY UPGRADE","Purch & Install","Complete","2025-04-04","DIIR","2025-06-03","DIIR","50000.00","50000.00","100.00","DSF0001112915"
2,"M894","HS FOR LEADERSHIP & PUBLIC SERV-M","SCA CIP","EMERGENCY GENERATOR REPLACEMENT","Scope","Complete","2019-07-17","2019-11-18","2021-03-11","5770.00","11587.00","11587.00","100.00","DSF0000900446"
2,"M894","HS FOR LEADERSHIP & PUBLIC SERV-M","DOE - Skilled Trades","COOLING TOWER","Construction","In-Progress","2019-07-22","DOES","","DOES","1239004.00","0.00","0.00","DSF0000867178"
2,"M894","HS FOR LEADERSHIP & PUBLIC SERV-M","SCA CIP","EMERGENCY GENERATOR REPLACEMENT","Design","In-Progress","2021-04-09","2021-09-09","","25963.00","58940.00","56465.00","95.80","DSF0000900446"
